,NAME,ADDRESS,OPEN_YEAR_ROUND,HANDICAP_ACCESSIBLE,LAT,LNG,LAT1,LNG1,indicator,pro,add,add1
1,Robert Bendheim Playground,E. 100th St. at 5th Avenue,Yes,No,40.7902926,-73.9544024,48.8632856,-99.622883,1,207.2214642,"Robert Bendheim Playground, 1184 5th Ave, New York, NY 10029, USA","100th St NE & 5th Ave NE, Rolla, ND 58367, USA"
2,Conservatory Garden,105 Street at 5th Avenue,Yes,Yes,40.7937661,-73.9524574,40.7936129,-73.9515972,1,1.32E-07,"Conservatory Garden, E 104th Street, New York, NY 10029, USA","5th Ave & E 105th St, New York, NY 10029, USA"
3,Model Boathouse (Kerbs) Cafe at Conservatory Water,E. 74th near 5th Avenue,Yes,Yes,40.7697512,-73.9605925,29.9368369,30.9217914,1,NA,NA,"Street 5, Giza Governorate, Egypt"
4,Washington Square Park,Washington Sq South & Thompson St.,Yes,No,40.730831,-73.997343,42.7312423,-84.5522893,1,26.17122268,"Washington Square, 210 W Washington Square, Philadelphia, PA 19106, USA","S Washington Square, Lansing, MI 48933, USA"
5,Lasker Skating Rink,"106th, Mid~Park",Yes,No,40.79612,-73.954884,NA,NA,1,NA,NA,NA
6,Merchants Gate,W. 61st and Central Park West,Yes,No,43.4333332,-79.7398639,40.7692978,-73.9810471,2,15.34169182,"Merchants Gate, Oakville, ON L6M, Canada","Central Park West & W 61st St, New York, NY 10023, USA"
7,North Meadow Recreation Center,"97th Street Transverse Road, Central Park",Yes,Yes,40.2027199,-85.4116236,40.7904585,-73.9597062,2,6.7307339,"N Meadow Ln, Muncie, IN 47304, USA","97th St Transverse Rd, New York, NY 10029, USA"
8,Bethesda Terrace,72nd Street Mid~Park,Yes,No,40.773851,-73.970849,NA,NA,1,NA,"Bethesda Terrace, West Palm Beach, FL 33407, USA",NA
9,Central Park Zoo,E. 64th near 5th,Yes,No,40.767803,-73.971837,35.537612,-97.5745286,1,1438.486668,"Zoo Rd, Patan 44600, Nepal","NW 64th St, Oklahoma, USA"
10,Dana Discovery Center,110th Street at Lenox Avenue,Yes,No,NA,NA,40.7982157,-73.9523666,2,NA,NA,"Lenox Ave & W 110th St, New York, NY 10026, USA"
11,Bryant Park,42nd St. between 5th and 6th Avenue,Yes,No,40.753613,-73.98319,29.9069377,30.9042268,1,501.9505423,"Bryant Park Rd, Georgia, USA","Path Between Two Factories, Giza Governorate, Egypt"
12,Tennis House,94th Street Mid~Park,Yes,No,40.789889,-73.961839,NA,NA,1,NA,"Tennis House, 23 Keighley Rd, Cross Hills, Keighley, North Yorkshire BD20 7DA, UK",NA
13,Ramble Shed,79th Street Mid~Park,Yes,No,32.5426176,-93.6785311,40.7100991,-73.8736068,2,161.7563528,"Shed Rd, Bossier City, LA 71111, USA","Middle Village Playground, 79th St, Middle Village, NY 11379, USA"
