"","Name","Yearround","Handicap","indicator","Lat1","Long1","Lat2","Long2","Lat","Long"
"1","Robert Bendheim Playground","Yes","No",1,40.7902926,-73.9544024,48.8632856,-99.622883,40.7902926,-73.9544024
"2","Conservatory Garden","Yes","Yes",1,40.7937661,-73.9524574,40.7936129,-73.9515972,40.7937661,-73.9524574
"3","Model Boathouse (Kerbs) Cafe at Conservatory Water","Yes","Yes",1,40.7697512,-73.9605925,29.9368369,30.9217914,40.7697512,-73.9605925
"4","Washington Square Park","Yes","No",1,40.730831,-73.997343,42.7312423,-84.5522893,40.730831,-73.997343
"5","Lasker Skating Rink","Yes","No",1,40.79612,-73.954884,NA,NA,40.79612,-73.954884
"6","Merchants Gate","Yes","No",2,43.4333332,-79.7398639,40.7692978,-73.9810471,40.7692978,-73.9810471
"7","North Meadow Recreation Center","Yes","Yes",2,40.2027199,-85.4116236,40.7904585,-73.9597062,40.7904585,-73.9597062
"8","Bethesda Terrace","Yes","No",1,40.773851,-73.970849,NA,NA,40.773851,-73.970849
"9","Central Park Zoo","Yes","No",1,40.767803,-73.971837,35.537612,-97.5745286,40.767803,-73.971837
"10","Dana Discovery Center","Yes","No",2,NA,NA,40.7982157,-73.9523666,40.7982157,-73.9523666
"11","Bryant Park","Yes","No",1,40.753613,-73.98319,29.9069377,30.9042268,40.753613,-73.98319
"12","Tennis House","Yes","No",1,40.789889,-73.961839,NA,NA,40.789889,-73.961839
"13","Ramble Shed","Yes","No",2,32.5426176,-93.6785311,40.7100991,-73.8736068,40.7100991,-73.8736068
"14","The Arsenal","Yes","No",1,40.767644,-73.97126,NA,NA,40.767644,-73.97126
"15","Great Hill","Yes","No",1,40.797011,-73.958974,NA,NA,40.797011,-73.958974
"16","Heckscher House","Yes","No",1,40.699645,-73.156632,NA,NA,40.699645,-73.156632
"17","Wollman Skating Rink","Yes","No",1,40.767767,-73.974498,NA,NA,40.767767,-73.974498
"18","Delacorte Theatre","Yes","Yes",1,40.78029,-73.968843,NA,NA,40.78029,-73.968843
"19","Rockfeller Center Lower Floor","Yes","No",1,40.758871,-73.978656,NA,NA,40.758871,-73.978656
"20","Grand Central Station Public Restroom","Yes","Yes",1,40.752926,-73.977207,40.7752549,-74.020156,40.752926,-73.977207
"21","Carl Schurz Park","Yes","No",1,40.7751302,-73.9436973,40.7756171,-73.9442821,40.7751302,-73.9436973
"22","Tavern on the Green","Yes","No",2,51.1273063,-0.1552554,40.7724388,-73.978741,40.7724388,-73.978741
"23","SAKS Fifth Avenue","Yes","No",2,33.7273312,-85.7915635,40.758045,-73.9769745,40.758045,-73.9769745
"24","Barneys New York","Yes","No",2,NA,NA,42.6569096,-73.7755431,42.6569096,-73.7755431
