"","Name","Yearround","Handicap","indicator","Lat1","Long1","Lat2","Long2","Lat","Long"
"25","Old Navy","Yes","No",2,43.8679298,-91.2031002,40.7224829,-73.9995839,40.7224829,-73.9995839
"26","Ancient Playground","Yes","No",1,40.7807557,-73.9616122,40.7372973,-73.9921861,40.7807557,-73.9616122
"27","South Street Seaport Mall","Yes","No",1,40.706995,-74.004355,37.7797643,-122.4153467,40.706995,-74.004355
"28","World Financial Center, Winter Garden","Yes","No",2,28.5652787,-81.5861847,40.7222399,-74.0118717,40.7222399,-74.0118717
"29","Long Island Railroad","Yes","Yes",1,40.730542,-73.869241,NA,NA,40.730542,-73.869241
"30","Washington Square Park Bathrooms","Yes","Yes",1,40.730329,-73.998058,NA,NA,40.730329,-73.998058
"31","Penn Station Public Restroom","Yes","Yes",1,40.750779,-73.993476,NA,NA,40.750779,-73.993476
"32","Public Restroom","Yes","Yes",1,40.742029,-73.98751,NA,NA,40.742029,-73.98751
"33","Prospect Park Bandshell","Yes","Yes",1,40.663471,-73.976615,NA,NA,40.663471,-73.976615
"34","Old Stone House in JJ Byrne park","Yes","Yes",1,40.672997,-73.984577,34.2525642,-85.1692598,40.672997,-73.984577
"35","Bed Bath and Beyond","Yes","No",1,40.740114,-73.994428,39.725618,-104.9796887,40.740114,-73.994428
"36","Bodum","Yes","No",1,40.751527,-74.006399,41.506081,-87.660127,40.751527,-74.006399
"37","McDonalds","Yes","No",1,40.70317,-74.012241,NA,NA,40.70317,-74.012241
"38","Old Navy","Yes","No",1,40.738825,-73.996357,NA,NA,40.738825,-73.996357
"39","St Vincents Hospital","Yes","Yes",2,33.50702,-86.78764,40.634491,-74.1092251,40.634491,-74.1092251
"40","St Vincents Emergency Room Area","Yes","Yes",2,NA,NA,40.6347424,-74.1122795,40.6347424,-74.1122795
"41","Shoprite 2344","Yes","Yes",2,0.3276086,32.6075211,40.6276019,-74.1678203,40.6276019,-74.1678203
"42","Tribeca Bagels","Yes","No",1,40.7162692,-74.0086323,29.9507988,-90.0658676,40.7162692,-74.0086323
"43","Pearl Paint","Yes","No",1,40.719664,-74.002683,29.9506042,-90.0655654,40.719664,-74.002683
"44","Sbarro Pizza and Pasta","Yes","No",1,40.719826,-74.002225,29.9505752,-90.0655196,40.719826,-74.002225
"45","Kings Leather","Yes","No",1,40.719151,-74.00101,29.9505876,-90.0650254,40.719151,-74.00101
"46","Starbucks Coffee","Yes","No",2,51.4816036,-0.0093395,40.718977,-74.002641,40.718977,-74.002641
"47","Teariffic","Yes","No",2,NA,NA,40.7154702,-73.9987687,40.7154702,-73.9987687
"48","Burger King","Yes","No",2,38.070376,27.411275,40.719335,-74.001218,40.719335,-74.001218
"49","Mc Donalds","Yes","No",2,29.6904256,-100.0320273,40.718687,-74.001022,40.718687,-74.001022
"50","Citicorp Center","Yes","No",1,40.758516,-73.969858,41.5744546,-90.5713507,40.758516,-73.969858
"51","Babies R Us","Yes","No",2,39.2108098,-86.3872651,40.7360786,-73.9917058,40.7360786,-73.9917058
"52","Chelsea Market","Yes","No",1,40.742734,-74.006041,NA,NA,40.742734,-74.006041
"53","Times Square McDonalds","Yes","No",1,40.758878,-73.984635,NA,NA,40.758878,-73.984635
"54","Staten Island Ferry","Yes","Yes",1,40.702622,-74.012822,NA,NA,40.702622,-74.012822
"55","Public Atrium ~ 60 Wall St.","Yes","No",1,40.706687,-74.007743,NA,NA,40.706687,-74.007743
"56","Cosmos Service Inc","Yes","No",2,40.707632,-74.012539,40.7073131,-74.012587,40.7073131,-74.012587
"57","Burger King","Yes","No",2,38.070376,27.411275,40.7087437,-74.0057398,40.7087437,-74.0057398
"58","New Amsterdam Branch Library","Yes","Yes",1,40.8511337,-73.9290202,40.7136425,-74.0079468,40.8511337,-73.9290202
"59","Franklin Square","Yes","No",1,40.7073244,-73.6759635,40.7177279,-73.9962547,40.7073244,-73.6759635
"60","Bloomingdales Soho","Yes","No",1,40.722384,-73.999144,NA,NA,40.722384,-73.999144
"61","Macys Department Store","Yes","No",1,40.750962,-73.989526,NA,NA,40.750962,-73.989526
"62","Port Authority Bus Terminal","Yes","Yes",1,40.757414,-73.989772,NA,NA,40.757414,-73.989772
"63","Herald Square Park","Yes","Yes",2,39.975322,-85.992374,41.1115472,-73.8583806,41.1115472,-73.8583806
"64","Greeley Square Park","Yes","Yes",1,40.7486977,-73.9883319,41.1115472,-73.8583806,40.7486977,-73.9883319
"65","Lincoln Center for Performing Arts","Yes","No",1,40.773844,-73.983616,41.7764299,-87.626745,40.773844,-73.983616
"66","PROSPECT PARK playground","Yes","Yes",1,41.516443,-78.2136126,NA,NA,41.516443,-78.2136126
"67","Brooklyn Public Library central branch","Yes","Yes",2,40.6781784,-73.9441579,40.6730861,-73.9694272,40.6730861,-73.9694272
"68","Underhill Playground","Yes","No",1,40.676715,-73.965699,NA,NA,40.676715,-73.965699
"69","Saks Fifth Avenue","Yes","Yes",1,40.758096,-73.976969,NA,NA,40.758096,-73.976969
"70","Bloomingdales","Yes","Yes",2,12.8409319,77.6516957,40.7619986,-73.9656927,40.7619986,-73.9656927
"71","Penn Station~ New Jersey Transit","Yes","Yes",2,NA,NA,40.7507431,-73.9921407,40.7507431,-73.9921407
"72","Public Restroom","Yes","No",2,38.0685555,-122.8051225,40.6312978,-74.0388353,40.6312978,-74.0388353
"73","The Soltaire","Yes","Yes",2,58.0263858,-3.847595,40.7165818,-74.0161324,40.7165818,-74.0161324
"74","Chelsea Piers Golf Club","Yes","No",2,NA,NA,40.7437031,-74.008656,40.7437031,-74.008656
"75","Playground","Yes","No",1,40.712896,-73.988503,35.0131472,-90.7226097,40.712896,-73.988503
"76","Playground","Yes","No",1,40.710562,-73.994091,34.3186252,-77.7693794,40.710562,-73.994091
"77","Playground","Yes","No",1,40.711498,-73.996774,40.7096804,-73.997115,40.711498,-73.996774
"78","Wendys","Yes","Yes",1,40.521419,-74.216746,NA,NA,40.521419,-74.216746
"79","Roosevelt Island Tramway","Yes","No",1,40.762991,-73.949399,NA,NA,40.762991,-73.949399
"80","NY Waterway Ferry Terminal","Yes","No",1,40.7274499,-74.0308856,30.5247591,-82.942473,40.7274499,-74.0308856
"81","New York Public Library Schwarzman Building","Yes","Yes",1,40.7127837,-74.0059413,40.7465393,-73.9859729,40.7127837,-74.0059413
"82","Time Warner","Yes","No",2,34.8010769,-76.8776499,40.7680441,-73.9823722,40.7680441,-73.9823722
"83","Great Kills Park Parking Lot","Yes","No",1,40.5543273,-74.156292,42.4715489,-78.9354506,40.5543273,-74.156292
"84","Home Depot","Yes","No",1,40.581776,-73.988563,NA,NA,40.581776,-73.988563
"85","Pathmark","Yes","No",1,40.582988,-73.984933,NA,NA,40.582988,-73.984933
"86","Loehmanns Department Store","Yes","No",1,40.584251,-73.94673,NA,NA,40.584251,-73.94673
"87","Battery Park","Yes","No",1,40.7032775,-74.0170279,41.3562081,-74.6803501,40.7032775,-74.0170279
"88","Castle Clinton","Yes","Yes",1,40.7034401,-74.0168023,40.7051613,-74.0159706,40.7034401,-74.0168023
"89","Public Toilets","Yes","No",1,40.748886,-74.008691,NA,NA,40.748886,-74.008691
"90","Inside Playground at Union Sq.","Yes","Yes",1,40.735266,-73.990277,29.4827971,-98.3289085,40.735266,-73.990277
"91","Conservatory Pond ~ Central Park close to 74th St and 5th ave","Yes","No",1,40.773965,-73.966555,NA,NA,40.773965,-73.966555
"92","Pier 84 Comfort Station","Yes","Yes",1,40.763445,-73.999861,NA,NA,40.763445,-73.999861
"93","Riverside Branch New York Public Library","Yes","Yes",1,40.774468,-73.984442,NA,NA,40.774468,-73.984442
"94","Playground 174","Yes","Not Available",1,40.834349,-73.877787,40.7633699,-73.6412419,40.834349,-73.877787
"95","Bronx River Parkway","Yes","Not Available",1,40.9476645,-73.8345485,40.8370495,-73.8654295,40.9476645,-73.8345485
"96","Abigail Playground","Yes","Not Available",1,40.8173278,-73.9048429,40.3055318,-74.0687506,40.8173278,-73.9048429
"97","Allerton Playground","Yes","Not Available",1,40.865851,-73.850576,NA,NA,40.865851,-73.850576
"98","Bailey Playground","Yes","Not Available",1,40.8819128,-73.9001578,39.1729522,-90.7877677,40.8819128,-73.9001578
"99","Behagen Playground","Yes","Not Available",1,40.8253722,-73.9012602,NA,NA,40.8253722,-73.9012602
"100","Belmont Playground","Yes","Not Available",1,40.8502451,-73.8876637,18.0244065,-76.8091508,40.8502451,-73.8876637
"101","Bronx River Parkway","Yes","Not Available",1,40.866736,-73.878706,40.864696,-73.871816,40.866736,-73.878706
"102","Bufano Park","Yes","Not Available",1,40.8381348,-73.8310627,NA,NA,40.8381348,-73.8310627
"103","Captain Rivera Playground","Yes","Not Available",1,40.8178344,-73.906772,39.7189646,-104.9269401,40.8178344,-73.906772
"104","Castle Hill Playground","Yes","Not Available",1,40.8234124,-73.8509116,NA,NA,40.8234124,-73.8509116
"106","Cedar Playground","Yes","Not Available",1,40.855062,-73.917406,NA,NA,40.855062,-73.917406
"107","Ciccarone Park Playground","Yes","Not Available",1,40.855959,-73.886632,NA,NA,40.855959,-73.886632
"108","Claremont Park Playground","Yes","No",1,40.838671,-73.907814,40.471443,-93.8654043,40.838671,-73.907814
"109","Colucci Playground","Yes","Not Available",1,40.8528355,-73.8347386,NA,NA,40.8528355,-73.8347386
"110","Crotona Park (Martin Van Buren Playground)","Yes","No",1,40.8353103,-73.8958401,39.1309856,17.0067031,40.8353103,-73.8958401
"111","Crotona Park (Playground of the Stars)","Yes","No",1,40.835697,-73.901235,43.2880277,-76.1482738,40.835697,-73.901235
"112","Crotona Park (Pool House)","Yes","Yes",1,40.839929,-73.897816,NA,NA,40.839929,-73.897816
"113","Crotona Park (Environmental Center)","Yes","No",1,40.839858,-73.890078,NA,NA,40.839858,-73.890078
"114","Devoe Park","Yes","No",1,40.863695,-73.9049,NA,NA,40.863695,-73.9049
"115","Drew Playground","Yes","Not Available",1,40.833137,-73.90334,NA,NA,40.833137,-73.90334
"116","Eastchester Playground","Yes","Not Available",1,40.8698953,-73.8527494,NA,NA,40.8698953,-73.8527494
"117","Flynn Playground","Yes","Not Available",1,40.820962,-73.91183,NA,NA,40.820962,-73.91183
"118","Franz Sigel Park","Yes","Not Available",1,40.8231019,-73.9253274,NA,NA,40.8231019,-73.9253274
"119","Grove Hill Playground","Yes","Not Available",1,40.82001,-73.908982,NA,NA,40.82001,-73.908982
"120","Gun Hill Playground","Yes","Not Available",1,40.874779,-73.865615,NA,NA,40.874779,-73.865615
"121","Haffen Park","Yes","No",1,40.8736702,-73.8393333,NA,NA,40.8736702,-73.8393333
"122","Harris Park","Yes","Not Available",1,40.875955,-73.892151,NA,NA,40.875955,-73.892151
"123","Havemeyer","Yes","Not Available",1,40.829822,-73.847859,NA,NA,40.829822,-73.847859
"124","Henry Hudson Park","Yes","Not Available",1,40.880901,-73.920217,NA,NA,40.880901,-73.920217
"125","Horseshoe Playground","Yes","Not Available",1,40.8240128,-73.8976774,43.6358402,-79.425958,40.8240128,-73.8976774
"126","Hunts Point Playground","Yes","Not Available",1,40.8142264,-73.8858262,40.8144125,-73.8868227,40.8142264,-73.8858262
"127","Julio Barballo Field","Yes","Not Available",1,40.81564,-73.889112,33.5391114,-92.8469446,40.81564,-73.889112
"128","Loreto Park Playground","Yes","Not Available",1,40.849109,-73.852004,40.8522006,-73.8507279,40.849109,-73.852004
"129","Lozada Playground","Yes","Not Available",1,40.8078754,-73.9250518,NA,NA,40.8078754,-73.9250518
"130","Macombs Dam Park","Yes","Not Available",1,40.8275468,-73.92977,40.0221122,-86.1021167,40.8275468,-73.92977
"131","Magenta Playground","Yes","Not Available",1,40.8736833,-73.8679103,40.873235,-73.868208,40.8736833,-73.8679103
"132","Mapes Pool","Yes","Not Available",1,40.846578,-73.886281,44.676126,-84.2319123,40.846578,-73.886281
"133","Marble Hill Playground","Yes","Not Available",1,40.877523,-73.9082418,38.833984,-90.838313,40.877523,-73.9082418
"134","Mazzei Playground","Yes","Not Available",1,40.8626762,-73.8582626,40.8629385,-73.8520399,40.8626762,-73.8582626
"135","Millbrook Playground","Yes","Not Available",1,40.804398,-73.916665,NA,NA,40.804398,-73.916665
"136","Mosholu Playground","Yes","Not Available",1,40.872292,-73.882763,NA,NA,40.872292,-73.882763
"137","Mott Playground","Yes","Not Available",1,40.831279,-73.914802,NA,NA,40.831279,-73.914802
"138","Mullaly Park (Skate Building)","Yes","Not Available",1,40.831783,-73.92406,NA,NA,40.831783,-73.92406
"139","Nelson Playground","Yes","Not Available",1,40.8348988,-73.9269807,NA,NA,40.8348988,-73.9269807
"140","Noble Playground","Yes","Not Available",1,40.8372519,-73.8722287,NA,NA,40.8372519,-73.8722287
"141","Orchard Beach Pavilion","Yes","Not Available",1,42.976524,-77.976095,40.8524136,-73.8263227,42.976524,-77.976095
"142","Owen Dolen Recreation Center","Yes","No",1,40.840698,-73.842504,41.0144987,-73.7118056,40.840698,-73.842504
"143","P.O. Serrano Playground","Yes","Not Available",1,40.823453,-73.850965,NA,NA,40.823453,-73.850965
"144","Parkside Playground","Yes","Not Available",1,40.866094,-73.868732,NA,NA,40.866094,-73.868732
"145","Pelham Bay Park (Bruckner Boulevard and Wilkinson Avenue)","Yes","Not Available",1,40.851686,-73.824701,NA,NA,40.851686,-73.824701
"146","Pelham Bay Park (Hunter Island Picnic Area)","Yes","Not Available",1,40.868446,-73.79267,40.8524136,-73.8263227,40.868446,-73.79267
"147","Pelham Bay Park (Playground for All Children)","Yes","Yes",1,40.848379,-73.825435,40.8252582,-73.8663659,40.848379,-73.825435
"148","Pelham South Park Headquarters","Yes","Not Available",1,40.850617,-73.819707,40.8524136,-73.8263227,40.850617,-73.819707
"149","Quarry Ballfields","Yes","Not Available",1,40.8510258,-73.890971,NA,NA,40.8510258,-73.890971
"150","Rainey Park","Yes","Not Available",1,40.766062,-73.940694,NA,NA,40.766062,-73.940694
"151","Randall Playground","Yes","Not Available",1,40.819203,-73.849555,NA,NA,40.819203,-73.849555
"152","Rev. Polite Playground","Yes","Not Available",1,40.827119,-73.896786,NA,NA,40.827119,-73.896786
"153","Richman (Echo) Park Playground","Yes","Not Available",1,40.849475,-73.901681,NA,NA,40.849475,-73.901681
"154","Rienzi Playground","Yes","Not Available",1,40.887659,-73.858673,NA,NA,40.887659,-73.858673
"155","Riverbend Playground","Yes","Not Available",1,40.8718815,-73.9059453,NA,NA,40.8718815,-73.9059453
"156","Rose Hill Park","Yes","Not Available",2,51.4901036,-0.9642497,40.8444372,-73.9026954,40.8444372,-73.9026954
"157","Seton Park","Yes","Not Available",1,40.885941,-73.9165092,38.8875829,-77.0127201,40.885941,-73.9165092
"158","Slattery Playground","Yes","Not Available",1,40.857314,-73.8983205,NA,NA,40.857314,-73.8983205
"159","Soundview Park Playground","Yes","Not Available",1,40.8222095,-73.8597328,NA,NA,40.8222095,-73.8597328
"160","Space Time Playground","Yes","Not Available",1,40.871825,-73.905859,NA,NA,40.871825,-73.905859
"161","Stars & Stripes Playground","Yes","Not Available",1,40.885188,-73.839345,NA,NA,40.885188,-73.839345
"162","Tiffany Playground","Yes","Not Available",1,40.824701,-73.894306,NA,NA,40.824701,-73.894306
"163","Tremont Park Playground","Yes","Not Available",1,40.845665,-73.895511,43.1905,-91.8592758,40.845665,-73.895511
"164","Van Cortlandt Park (Allen Shandler Recreation Area)","Yes","No",2,NA,NA,40.890385,-73.896044,40.890385,-73.896044
"165","Van Cortlandt Park (Classic Playground)","Yes","No",2,NA,NA,40.8849265,-73.8907719,40.8849265,-73.8907719
"166","Van Cortlandt Park (Indian Field)","Yes","Yes",2,NA,NA,40.89651,-73.878271,40.89651,-73.878271
"167","Van Cortlandt Park (Nature Center)","Yes","No",2,NA,NA,40.891135,-73.893921,40.891135,-73.893921
"168","Van Cortlandt Park (Pool Building)","Yes","No",2,NA,NA,40.8895802,-73.8999318,40.8895802,-73.8999318
"169","Van Cortlandt Park (Stables Area)","Yes","No",2,NA,NA,40.9010541,-73.8969283,40.9010541,-73.8969283
"170","Van Cortlandt Park (Stadium)","Yes","No",2,NA,NA,40.888181,-73.897402,40.888181,-73.897402
"171","Van Cortlandt par (UC Pool Headquarters)","Yes","No",2,NA,NA,40.8899,-73.895857,40.8899,-73.895857
"172","Van Cortlandt Park (Woodlawn Playground)","Yes","No",2,NA,NA,40.900074,-73.872186,40.900074,-73.872186
"173","Vidalia Park","Yes","Not Available",1,40.8442589,-73.8811989,52.1790819,-1.2987189,40.8442589,-73.8811989
"174","Vinmont Veteran Playground","Yes","Not Available",1,40.902254,-73.904806,NA,NA,40.902254,-73.904806
"175","Virginia Playground","Yes","Not Available",1,40.8342007,-73.8622136,NA,NA,40.8342007,-73.8622136
"176","Wakefield Playground","Yes","Not Available",1,40.9018109,-73.854679,NA,NA,40.9018109,-73.854679
"177","Watson Gleason Playground","Yes","Not Available",1,40.8284567,-73.868921,28.6160748,-80.8213475,40.8284567,-73.868921
"178","Webster Playground","Yes","Not Available",1,40.8595438,-73.8929003,NA,NA,40.8595438,-73.8929003
"179","Zimmerman Playground","Yes","Not Available",1,40.866113,-73.868598,NA,NA,40.866113,-73.868598
"180","Abe Lincoln Playground","Yes","Not Available",1,40.8123146,-73.937268,43.0730517,-89.4012302,40.8123146,-73.937268
"181","Alexander Hamilton Playground","Yes","Not Available",1,40.8230268,-73.9513202,41.2795964,-82.2451306,40.8230268,-73.9513202
"182","Alfred E. Smith Park","Yes","Not Available",1,42.653986,-73.75993,43.0730517,-89.4012302,42.653986,-73.75993
"183","Alice Kornegay Triangle","Yes","No",1,40.806552,-73.935558,40.92844,-81.1153853,40.806552,-73.935558
"184","Annunciation Park","Yes","Not Available",2,38.5152427,-90.309449,40.8184009,-73.9508602,40.8184009,-73.9508602
"185","Asser Levy Playground","Yes","No",1,40.736139,-73.975635,NA,NA,40.736139,-73.975635
"186","Audoubon Playground","Yes","No",1,40.842176,-73.939111,NA,NA,40.842176,-73.939111
"187","Augustus St. Gaudens","Yes","Not Available",1,40.735597,-73.982178,NA,NA,40.735597,-73.982178
"188","Bendheim Playground","Yes","Not Available",1,40.790333,-73.954424,NA,NA,40.790333,-73.954424
"189","Bennett Park","Yes","Not Available",1,40.852819,-73.938048,40.1390398,-75.2100952,40.852819,-73.938048
"190","Bloomingdale Playground","Yes","Not Available",1,40.7993583,-73.9662115,40.7987854,-73.9658493,40.7993583,-73.9662115
"191","Carl Schurz Promenade","Yes","Not Available",1,40.775171,-73.943654,NA,NA,40.775171,-73.943654
"192","Carmansville Playground","Yes","Not Available",1,40.82927,-73.944162,NA,NA,40.82927,-73.944162
"193","Chelsea Park","Yes","Not Available",1,40.750145,-74.00128,NA,NA,40.750145,-74.00128
"194","Chelsea Recreation Center","Yes","Not Available",1,40.748305,-74.002032,NA,NA,40.748305,-74.002032
"195","Cherry Tree Washington Playground","Yes","Not Available",1,40.787135,-73.947274,NA,NA,40.787135,-73.947274
"196","Col. Charles Young Playground","Yes","No",1,40.8195904,-73.9361885,41.628064,-87.6560306,40.8195904,-73.9361885
"197","Columbus Park","Yes","Yes",1,40.715125,-73.999964,NA,NA,40.715125,-73.999964
"198","De Witt Clinton Park","Yes","Not Available",1,40.768136,-73.9943891,NA,NA,40.768136,-73.9943891
"199","Downing Street Playground","Yes","Not Available",1,40.730252,-74.002189,NA,NA,40.730252,-74.002189
"200","Dry Dock Playground","Yes","Not Available",1,40.725342,-73.975459,NA,NA,40.725342,-73.975459
"201","Dyckman House Museum","Yes","No",1,40.867367,-73.922812,41.1115472,-73.8583806,40.867367,-73.922812
"202","East River Park (10th Street)","Yes","Not Available",1,40.723857,-73.972827,40.142144,-76.964023,40.723857,-73.972827
"203","East River Park (Tennis Courts)","Yes","Not Available",1,40.719909,-73.973635,NA,NA,40.719909,-73.973635
"204","East River Park (Track Building)","Yes","No",1,40.721694,-73.973424,43.9719586,-92.0560338,40.721694,-73.973424
"205","East River Playround","Yes","No",1,40.789187,-73.9379,NA,NA,40.789187,-73.9379
"206","Fort Tryon Park (Anne Loftus Playground)","Yes","Not Available",1,40.862044,-73.932074,41.1115472,-73.8583806,40.862044,-73.932074
"207","Fort Tryon Park (Caf_)","Yes","No",1,40.863804,-73.932549,48.8632856,-99.622883,40.863804,-73.932549
"208","Fort Tryon Park (The Cloisters)","Yes","Not Available",1,40.864855,-73.931717,40.8158821,-73.9623705,40.864855,-73.931717
"209","Fort Washington Park (Lily Brown Playground)","Yes","Not Available",1,40.838819,-73.946638,35.5888502,-82.5700538,40.838819,-73.946638
"210","Frederick Douglass Playground","Yes","Not Available",1,40.7969119,-73.9677592,40.7741609,-73.9859188,40.7969119,-73.9677592
"211","Frederick E. Samuel Playground","Yes","Not Available",1,40.817202,-73.9391049,43.0928727,-75.6546064,40.817202,-73.9391049
"212","Frederick Johnson Park","Yes","No",1,40.824812,-73.935556,37.7891138,-89.5307414,40.824812,-73.935556
"213","General Douglas MacArthur Park","Yes","Not Available",1,40.587016,-74.100084,25.8671713,-80.2711956,40.587016,-74.100084
"214","Hamilton Fish Park (Recreation Center)","Yes","Not Available",1,40.720046,-73.981532,29.7604267,-95.3698028,40.720046,-73.981532
"215","Hansborough Recreation Center","Yes","No",1,40.812788,-73.939211,35.3343358,-97.5128357,40.812788,-73.939211
"216","Happy Warrior Playground","Yes","No",1,40.79694,-73.967784,44.8263946,-93.3188017,40.79694,-73.967784
"217","Highbridge Park (Quisqueya Playground)","Yes","Yes",1,40.843436,-73.933201,40.4554989,-94.1199107,40.843436,-73.933201
"218","Highbridge Park (Recreation Center)","Yes","Not Available",1,40.6419877,-74.9132045,NA,NA,40.6419877,-74.9132045
"219","Highbridge Park (Wallenberg Playground)","Yes","Yes",1,40.852714,-73.926915,NA,NA,40.852714,-73.926915
"220","Holcombe Rucker","Yes","No",1,40.832725,-73.939137,40.8280552,-73.9346918,40.832725,-73.939137
"221","Howard Bennett Playground","Yes","Not Available",1,40.8136794,-73.9387312,NA,NA,40.8136794,-73.9387312
"222","Inwoood Hill Park (Nature Center)","Yes","No",1,40.871509,-73.925709,NA,NA,40.871509,-73.925709
"223","Inwood Hill Park (Payson Playground)","Yes","No",1,40.8677145,-73.9212019,34.2308684,-111.3251355,40.8677145,-73.9212019
"224","Inwood Hill Park (Tennis Courts)","Yes","No",1,40.869927,-73.922422,37.2905087,-76.7298653,40.869927,-73.922422
"225","J. Hood Wright Park","Yes","Yes",1,40.846319,-73.941364,NA,NA,40.846319,-73.941364
"226","Jackie Robinson Park","Yes","No",1,40.824236,-73.942139,NA,NA,40.824236,-73.942139
"227","Jackie Robinson Park (Playground 152 CLII)","Yes","No",1,40.827962,-73.93994,NA,NA,40.827962,-73.93994
"228","Jackie Robinson Park (Rec Center)","Yes","Not Available",1,40.824274,-73.942122,NA,NA,40.824274,-73.942122
"229","Jacob Schiff Playground","Yes","No",2,NA,NA,40.8174777,-73.946736,40.8174777,-73.946736
"230","John Jay Park & Pool","Yes","No",1,40.7693053,-73.9493916,38.979234,-94.439631,40.7693053,-73.9493916
"231","James J. Walker Park (Carmine Rec Center)","Yes","No",1,40.729758,-74.006272,NA,NA,40.729758,-74.006272
"232","Little Flower Playground","Yes","Yes",1,40.7123939,-73.9884206,43.0730517,-89.4012302,40.7123939,-73.9884206
"233","Marcus Garvey Park (Pelham Fritz Recreation Center)","Yes","No",1,40.805042,-73.944831,40.8050093,-73.9448633,40.805042,-73.944831
"234","Marcus Garvey Park (pool)","Yes","Not Available",1,40.80518,-73.943365,43.6728093,-79.4052216,40.80518,-73.943365
"235","Martin Luther King Houses","Yes","No",1,40.6968447,-73.949496,38.6727119,-90.2934383,40.6968447,-73.949496
"236","May Matthews Playground","Yes","No",1,40.756617,-73.983303,29.8331559,31.3529387,40.756617,-73.983303
"237","McCaffrey Playground","Yes","No",1,40.758985,-73.9913589,38.431024,-86.941794,40.758985,-73.9913589
"238","McKinley Playground","Yes","No",1,40.724024,-73.98503,47.6532648,-117.3469896,40.724024,-73.98503
"239","Morningside Park","Yes","Yes",1,40.805135,-73.959095,41.6661463,-87.8912235,40.805135,-73.959095
"240","Morningside Park","Yes","Not Available",1,40.806028,-73.959063,NA,NA,40.806028,-73.959063
"241","Morningside Playground","Yes","No",1,40.806334,-73.957754,41.4675749,-81.7687675,40.806334,-73.957754
"242","Msgnr. Kett","Yes","No",1,40.863132,-73.920639,33.8456017,-118.2992222,40.863132,-73.920639
"243","Orville & Wilbur Playground","Yes","No",1,40.83168,-73.941769,NA,NA,40.83168,-73.941769
"244","Playground 70","Yes","Yes",1,40.704988,-73.881494,NA,NA,40.704988,-73.881494
"245","Playground 96 (XCVI)","Yes","No",1,40.785684,-73.950114,NA,NA,40.785684,-73.950114
"246","PS 155 Playground","Yes","Not Available",1,40.798027,-73.936976,NA,NA,40.798027,-73.936976
"247","Renaissance Playground","Yes","No",1,40.822447,-73.943055,29.839422,31.3384822,40.822447,-73.943055
"248","Robert Moses Playground","Yes","No",1,40.748006,-73.9691,-10.3345449,-48.2997164,40.748006,-73.9691
