"","Yearround","Handicap","indicator","Lat","Long"
"569","Yes","Not Available",1,40.633905,-74.1290426
"570","","Yes",2,40.7020409,-73.7831254
"571","Yes","Not Available",1,40.748521,-73.86195
"572","Yes","Not Available",1,40.576129,-73.978033
"573","Yes","Not Available",1,40.663323,-73.949663
"574","","Yes",1,40.6039714,-73.930572
"575","Yes","Yes",1,40.8468846,-73.8614786
"576","Yes","Not Available",1,40.727537,-73.904855
"577","Yes","Not Available",1,40.626552,-74.016745
"578","Yes","Yes",1,40.57149,-74.0931627
"579","Yes","Not Available",1,40.7244435,-73.9433581
"580","Yes","Not Available",1,40.74127,-73.922399
"581","Yes","Not Available",1,40.681571,-73.839263
"582","Yes","Not Available",1,40.676927,-73.978931
"583","Yes","Not Available",1,40.576981,-73.946523
"584","Yes","Not Available",1,40.620141,-73.95798
"585","Yes","Not Available",1,40.8496714,-73.8330844
"586","Yes","Not Available",1,40.809434,-73.916889
"587","Yes","Not Available",1,40.735845,-73.98086
"588","Yes","Not Available",1,40.614993,-73.944587
"589","Yes","Not Available",1,40.696305,-73.99745
"590","Yes","Not Available",1,40.666304,-73.862032
"591","Yes","Not Available",1,40.73624,-73.854875
"592","Yes","Not Available",1,40.815219,-73.901698
"593","Yes","Not Available",1,40.7926774,-73.9428706
"594","Yes","Not Available",1,40.6820904,-73.9442483
"595","Yes","Not Available",1,40.692302,-73.961938
"596","Yes","Not Available",1,40.651894,-73.965707
"597","Yes","Not Available",1,40.666981,-73.97378
"598","Yes","Yes",1,40.661447,-73.973008
"599","Yes","Not Available",1,40.649717,-73.970966
"600","Yes","Not Available",1,40.661913,-73.963877
"601","","Not Available",1,40.669335,-73.970271
"602","Yes","Yes",1,40.592388,-73.936367
"603","Yes","Yes",1,40.735407,-73.857742
"604","No","Not Available",1,40.785871,-73.984487
"605","No","Yes",1,40.785733,-73.984493
"606","Yes","Not Available",1,40.811453,-73.963493
"607","Yes","Not Available",1,40.787322,-73.980938
"608","Yes","Not Available",1,40.813415,-73.963021
"609","Yes","Not Available",1,40.793267,-73.977992
"610","Yes","Not Available",1,40.783391,-73.984802
"611","Yes","Not Available",1,40.787256,-73.980952
"612","Yes","Not Available",1,40.787344,-73.982084
"613","No","Not Available",1,40.811347,-73.965631
"614","Yes","Not Available",1,40.796793,-73.977044
"615","Yes","Not Available",1,40.7480467,-73.9692285
"616","Yes","Not Available",1,40.681351,-73.787159
"617","No","Not Available",1,40.584528,-73.811149
"618","Yes","Not Available",1,40.589087,-73.789072
"619","Yes","Not Available",1,40.577385,-73.836923
"620","","Yes",1,40.580637,-73.825516
"621","","Yes",1,40.58023,-73.827597
"622","","Yes",1,40.584535,-73.811153
"623","","Yes",1,40.582946,-73.817583
"624","Yes","Not Available",1,40.7064875,-73.9615144
"625","Yes","Not Available",1,40.83465,-73.93853
"626","Yes","Not Available",1,40.704357,-73.904049
"627","Yes","Not Available",1,40.687236,-73.772122
"628","Yes","Not Available",1,40.683162,-73.9051704
"629","Yes","Yes",1,40.722369,-73.991619
"630","Yes","Not Available",1,40.6081073,-73.9863087
"631","No","Not Available",1,40.88752,-73.918429
"632","Yes","Not Available",1,40.814868,-73.955559
"633","Yes","Not Available",1,40.622012,-74.040678
"634","Yes","Not Available",1,40.628187,-74.039913
"635","Yes","Not Available",1,40.620685,-74.0409
"636","Yes","Not Available",1,40.7895736,-73.9687693
"637","No","Not Available",1,40.7143044,-73.9839212
"638","Yes","Not Available",1,40.6770054,-73.8847238
"639","Yes","Not Available",1,40.661031,-73.761786
"640","Yes","Not Available",1,40.6787018,-73.9426124
"641","Yes","Not Available",2,40.764625,-73.9583262
"642","Yes","Yes",1,40.809883,-73.910434
"643","Yes","Not Available",1,40.812885,-73.9132
"644","Yes","Yes",1,40.811655,-73.914028
"645","Yes","Yes",1,40.7449676,-73.9736364
"646","Yes","Not Available",1,40.6750147,-73.9618817
"647","Yes","Not Available",1,40.647664,-74.005016
"648","Yes","Not Available",1,40.8391317,-73.8659808
"649","Yes","Yes",1,40.613587,-74.098432
"650","Yes","Not Available",1,40.8387396,-73.8454901
"651","Yes","Not Available",1,40.793427,-73.934029
"652","Yes","Yes",1,40.609359,-74.12035
"653","Yes","Yes",1,40.726747,-73.9807
"654","Yes","Not Available",1,40.778799,-73.922544
"655","No","Not Available",1,40.784987,-73.925913
"656","Yes","Yes",1,40.688544,-73.966485
"657","Yes","Not Available",1,40.731397,-73.997007
"658","Yes","Not Available",1,40.710342,-73.739511
"659","Yes","Not Available",1,40.763414,-73.824469
"660","Yes","Not Available",1,40.586441,-73.969889
"661","Yes","Not Available",1,40.576062,-73.978829
"662","Yes","Not Available",1,40.604574,-73.95627
"663","Yes","Not Available",1,40.8779125,-73.8775576
"664","Yes","Not Available",1,40.8109536,-73.9228473
"665","Yes","Not Available",1,40.722735,-73.836987
"666","Yes","Not Available",1,40.6585943,-73.9442483
"667","Yes","Not Available",1,40.675133,-73.930523
"668","Yes","Not Available",1,40.7772518,-73.9025345
