"","Yearround","Handicap","indicator","Lat","Long"
"123","Yes","Not Available",1,40.829822,-73.847859
"124","Yes","Not Available",1,40.880901,-73.920217
"125","Yes","Not Available",1,40.8240128,-73.8976774
"126","Yes","Not Available",1,40.8142264,-73.8858262
"127","Yes","Not Available",1,40.81564,-73.889112
"128","Yes","Not Available",1,40.849109,-73.852004
"129","Yes","Not Available",1,40.8078754,-73.9250518
"130","Yes","Not Available",1,40.8275468,-73.92977
"131","Yes","Not Available",1,40.8736833,-73.8679103
"132","Yes","Not Available",1,40.846578,-73.886281
"133","Yes","Not Available",1,40.877523,-73.9082418
"134","Yes","Not Available",1,40.8626762,-73.8582626
"135","Yes","Not Available",1,40.804398,-73.916665
"136","Yes","Not Available",1,40.872292,-73.882763
"137","Yes","Not Available",1,40.831279,-73.914802
"138","Yes","Not Available",1,40.831783,-73.92406
"139","Yes","Not Available",1,40.8348988,-73.9269807
"140","Yes","Not Available",1,40.8372519,-73.8722287
"141","Yes","Not Available",1,42.976524,-77.976095
"142","Yes","No",1,40.840698,-73.842504
"143","Yes","Not Available",1,40.823453,-73.850965
"144","Yes","Not Available",1,40.866094,-73.868732
"145","Yes","Not Available",1,40.851686,-73.824701
"146","Yes","Not Available",1,40.868446,-73.79267
"147","Yes","Yes",1,40.848379,-73.825435
"148","Yes","Not Available",1,40.850617,-73.819707
"149","Yes","Not Available",1,40.8510258,-73.890971
"150","Yes","Not Available",1,40.766062,-73.940694
"151","Yes","Not Available",1,40.819203,-73.849555
"152","Yes","Not Available",1,40.827119,-73.896786
"153","Yes","Not Available",1,40.849475,-73.901681
"154","Yes","Not Available",1,40.887659,-73.858673
"155","Yes","Not Available",1,40.8718815,-73.9059453
"156","Yes","Not Available",2,40.8444372,-73.9026954
"157","Yes","Not Available",1,40.885941,-73.9165092
"158","Yes","Not Available",1,40.857314,-73.8983205
"159","Yes","Not Available",1,40.8222095,-73.8597328
"160","Yes","Not Available",1,40.871825,-73.905859
"161","Yes","Not Available",1,40.885188,-73.839345
"162","Yes","Not Available",1,40.824701,-73.894306
"163","Yes","Not Available",1,40.845665,-73.895511
"164","Yes","No",2,40.890385,-73.896044
"165","Yes","No",2,40.8849265,-73.8907719
"166","Yes","Yes",2,40.89651,-73.878271
"167","Yes","No",2,40.891135,-73.893921
"168","Yes","No",2,40.8895802,-73.8999318
"169","Yes","No",2,40.9010541,-73.8969283
"170","Yes","No",2,40.888181,-73.897402
"171","Yes","No",2,40.8899,-73.895857
"172","Yes","No",2,40.900074,-73.872186
"173","Yes","Not Available",1,40.8442589,-73.8811989
"174","Yes","Not Available",1,40.902254,-73.904806
"175","Yes","Not Available",1,40.8342007,-73.8622136
"176","Yes","Not Available",1,40.9018109,-73.854679
"177","Yes","Not Available",1,40.8284567,-73.868921
"178","Yes","Not Available",1,40.8595438,-73.8929003
"179","Yes","Not Available",1,40.866113,-73.868598
"180","Yes","Not Available",1,40.8123146,-73.937268
"181","Yes","Not Available",1,40.8230268,-73.9513202
"182","Yes","Not Available",1,42.653986,-73.75993
"183","Yes","No",1,40.806552,-73.935558
"184","Yes","Not Available",2,40.8184009,-73.9508602
"185","Yes","No",1,40.736139,-73.975635
"186","Yes","No",1,40.842176,-73.939111
"187","Yes","Not Available",1,40.735597,-73.982178
"188","Yes","Not Available",1,40.790333,-73.954424
"189","Yes","Not Available",1,40.852819,-73.938048
"190","Yes","Not Available",1,40.7993583,-73.9662115
"191","Yes","Not Available",1,40.775171,-73.943654
"192","Yes","Not Available",1,40.82927,-73.944162
"193","Yes","Not Available",1,40.750145,-74.00128
"194","Yes","Not Available",1,40.748305,-74.002032
"195","Yes","Not Available",1,40.787135,-73.947274
"196","Yes","No",1,40.8195904,-73.9361885
"197","Yes","Yes",1,40.715125,-73.999964
